name,class,connector,NUMBER_OF_CELLS,CAPACITY,CHORD_1,WIDTH,COST,LENGTH,CHEMISTRY_TYPE,PEAK_DISCHARGE_RATE,SPAN,PACK_RESISTANCE,MODEL,TAPER_OFFSET,MOUNT_SIDE,CHORD_2,CONT_DISCHARGE_RATE,CORPUS,VOLUME_PERCENT,MODULE_VOLUME,VOLTAGE_REQUEST,VOLTAGE,WEIGHT,BASE_VOLTAGE,ROTATION,DISCHARGE_PLUG,BATTERY_TYPE,THICKNESS,MODULE_MASS
Eagle4AhAg_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,4.26,"('1000', '1', None, '1000')",None,None,None,None,32.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",16.4,UAM,"('100', '1', '100', '100')",6551432.16,"('800', '1', None, '110')",None,None,33.0,None,None,Beam,"('200', '6', None, '40')",11.16
Eagle031AhAg_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,0.31,"('1000', '1', None, '1000')",None,None,None,None,2.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",661012.9020000001,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",1.81
Eagle031AhAg_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,0.31,"('200', '1', None, '1000')",None,None,None,None,2.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",661012.9020000001,"('400', '1', None, '110')",None,None,28.0,None,None,Cylinder,"('200', '6', None, '40')",1.81
Eagle11AhLi,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,11.0,"('1000', '1', None, '1000')",None,None,None,None,1.2,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",0.46,UAM,"('100', '1', '100', '100')",765517.48,"('800', '1', None, '110')",None,None,14.4,None,None,Wing,"('200', '6', None, '40')",1.18
Eagle031AhAg,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,0.31,"('1000', '1', None, '1000')",None,None,None,None,2.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",661012.9020000001,"('800', '1', None, '110')",None,None,28.0,None,None,Wing,"('200', '6', None, '40')",1.81
Saft18AhLi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,18.0,"('1000', '1', None, '1000')",None,None,None,None,2.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",4989600.0,"('800', '1', None, '110')",None,None,29.6,None,None,Beam,"('200', '6', None, '40')",5.0
Tattu35C6000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,6000,None,45,129.99,148.0,LiPo,70,None,12,Tattu35C6000mAh6S1P,None,None,None,35,UAV,None,None,None,22.2,0.885,None,"('0', '0', '360', '0')",XT60,UAV,59.0,None
TattuPro25C22000mAh12S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",12S1P,22000,None,174,908.59,238.0,LiPo,50,None,12,TattuPro25C22000mAh12S1P,None,None,None,25,UAV,None,None,None,44.4,6.3,None,"('0', '0', '360', '0')",XT150,UAV,117.0,None
Tattu10C40000mAh6S1PHV,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,40000,None,123,822.0,258.0,LiHv,20,None,12,Tattu10C40000mAh6S1PHV,None,None,None,10,UAV,None,None,None,22.8,4.08,None,"('0', '0', '360', '0')",XT90,UAV,62.0,None
Tattu25C30000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,30000,None,120,517.13,217.0,LiPo,50,None,12,Tattu25C30000mAh6S1P,None,None,None,25,UAV,None,None,None,22.2,3.505,None,"('0', '0', '360', '0')",XT150,UAV,65.0,None
Tattu19AhLi_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,19.0,"('200', '1', None, '1000')",None,None,None,None,50.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",25.0,UAM,"('100', '1', '100', '100')",5991804.0,"('400', '1', None, '110')",None,None,51.8,None,None,Cylinder,"('200', '6', None, '40')",7.86
TurnigyGraphene3000mAh4S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",4S1P,3000,None,34,56.77,137.0,LiPo,150,None,15,TurnigyGraphene3000mAh4S75C,None,None,None,75,UAV,None,None,None,14.8,0.405,None,"('0', '0', '360', '0')",XT90,UAV,45.0,None
TurnigyGraphene5000mAh3S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",3S1P,5000,None,51,65.48,144.0,LiPo,150,None,9,TurnigyGraphene5000mAh3S75C,None,None,None,75,UAV,None,None,None,11.1,0.49,None,"('0', '0', '360', '0')",XT90,UAV,32.0,None
Tattu5C28000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,28000,None,89,450.0,203.0,LiIon,10,None,12,Tattu5C28000mAh6S1P,None,None,None,5,UAV,None,None,None,22.2,2.5,None,"('0', '0', '360', '0')",XT90,UAV,61.5,None
TattuPlus15C16000mAh12S1Pcompact,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",12S1P,16000,None,150,674.99,217.5,LiPo,30,None,12,TattuPlus15C16000mAh12S1Pcompact,None,None,None,15,UAV,None,None,None,44.4,4.25,None,"('0', '0', '360', '0')",XT90,UAV,80.0,None
Avionic40AhLi,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,40.0,"('1000', '1', None, '1000')",None,None,None,None,36.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",21.3,UAM,"('100', '1', '100', '100')",20701909.047712006,"('800', '1', None, '110')",None,None,28.0,None,None,Wing,"('200', '6', None, '40')",20.32
Eagle043AhAg_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,0.43,"('1000', '1', None, '1000')",None,None,None,None,24.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",12.0,UAM,"('100', '1', '100', '100')",797998.4040000001,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",1.7
Eagle7AhAg,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,7.5,"('1000', '1', None, '1000')",None,None,None,None,1.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",0.47,UAM,"('100', '1', '100', '100')",2378317.8240000005,"('800', '1', None, '110')",None,None,28.0,None,None,Wing,"('200', '6', None, '40')",4.17
Avionic40AhNi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,40.0,"('1000', '1', None, '1000')",None,None,None,None,40.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",25.0,UAM,"('100', '1', '100', '100')",16782563.45792,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",36.42
Eagle19AhAg_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,19.0,"('1000', '1', None, '1000')",None,None,None,None,3.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.58,UAM,"('100', '1', '100', '100')",4817796.816000001,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",9.3
Avionic40AhLi_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,40.0,"('200', '1', None, '1000')",None,None,None,None,36.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",21.3,UAM,"('100', '1', '100', '100')",20701909.047712006,"('400', '1', None, '110')",None,None,28.0,None,None,Cylinder,"('200', '6', None, '40')",20.32
Eagle50AhAg_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,50.0,"('1000', '1', None, '1000')",None,None,None,None,1.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",0.54,UAM,"('100', '1', '100', '100')",13747102.3,"('800', '1', None, '110')",None,None,33.0,None,None,Beam,"('200', '6', None, '40')",24.5
Eagle11AhLi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,11.0,"('1000', '1', None, '1000')",None,None,None,None,1.2,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",0.46,UAM,"('100', '1', '100', '100')",765517.48,"('800', '1', None, '110')",None,None,14.4,None,None,Beam,"('200', '6', None, '40')",1.18
TattuPro25C22000mAh14S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",14S1P,22000,None,174,1059.29,238.0,LiPo,50,None,12,TattuPro25C22000mAh14S1P,None,None,None,25,UAV,None,None,None,51.8,7.35,None,"('0', '0', '360', '0')",XT150,UAV,117.0,None
Tattu25C28000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,28000,None,121,517.13,205.0,LiPo,50,None,12,Tattu25C28000mAh6S1P,None,None,None,25,UAV,None,None,None,22.2,3.505,None,"('0', '0', '360', '0')",XT150,UAV,67.0,None
